,Percentage Missing
code_insee_region,0.0
libelle_region,0.0
nature,0.0
date,0.0
heure,0.0
date_heure,0.0
consommation,0.0005703855806525211
thermique,0.0005703855806525211
nucleaire,33.33366605825538
eolien,0.0
solaire,0.0005703855806525211
hydraulique,0.0005703855806525211
pompage,34.99919195376074
bioenergies,0.0005703855806525211
ech_physiques,0.0005703855806525211
stockage_batterie,79.16552589550537
destockage_batterie,79.16552589550537
eolien_terrestre,79.16552589550537
eolien_offshore,79.16552589550537
tco_thermique,69.14442162902122
tch_thermique,69.14442162902122
tco_nucleaire,73.31964407939768
tch_nucleaire,82.00091261692904
tco_eolien,69.14442162902122
tch_eolien,69.14442162902122
tco_solaire,69.14442162902122
tch_solaire,69.14442162902122
tco_hydraulique,69.14442162902122
tch_hydraulique,69.14442162902122
tco_bioenergies,69.14442162902122
tch_bioenergies,69.14442162902122
column_30,100.0
